Abertura,Saída,Par,TF,TTT,Tipo,Resultado,PnL,Entrada,Alvo,Stop,Notas
16/03/26 15:37:16,16/03/26 16:03:05,QNTUSDT,5M,Rápida,LONG,LOSS,-1.0%,68.09,70.1327*,66.7282,Fechado via Dashboard
16/03/26 14:52:37,16/03/26 16:03:11,ARBUSDT,1M,Rápida,LONG,WIN,+1.0%,0.1091,0.110736*,0.108009,Fechado via Dashboard
16/03/26 16:04:27,16/03/26 16:10:53,APTUSDT,5M,Rápida,LONG,WIN,4,00%,1.003,1.03309*,0.98294,Fechado via Dashboard
16/03/26 16:12:03,16/03/26 16:18:38,BOMEUSDT,15M,Rápida,LONG,WIN,3,04,0.000479,0.000503*,0.000465,Fechado via Dashboard
16/03/26 16:20:14,16/03/26 16:21:45,DEGOUSDT,1M,Rápida,LONG,WIN,+1.0%,1.092,1.10838*,1.08108,Fechado via Dashboard
16/03/26 16:24:13,16/03/26 16:38:14,CETUSUSDT,1M,Rápida,LONG,LOSS,-1.0%,0.01852,0.018798*,0.018335,Fechado via Dashboard
16/03/26 16:40:04,16/03/26 17:05:40,FETUSDT,5M,Rápida,LONG,LOSS,-1,49,0.2383,0.245449*,0.233534,Fechado via Dashboard
16/03/26 17:09:03,16/03/26 17:27:32,ALGOUSDT,1M,Rápida,LONG,WIN,+1.0%,0.0955,0.096932*,0.094545,Fechado via Dashboard
16/03/26 17:29:33,16/03/26 17:59:11,ACHUSDT,5M,Rápida,LONG,WIN,+5,09,0.00732,0.00754*,0.007174,Fechado via Dashboard
16/03/26 18:00:37,16/03/26 18:06:38,BANANAS31USDT,5M,Rápida,LONG,LOSS,-2.0%,0.010128,0.010432*,0.009925,Fechado via Dashboard
16/03/26 18:15:04,16/03/26 20:39:54,AIXBTUSDT,5M,Rápida,LONG,WIN,+1.0%,0.0275,0.028325*,0.02695,Fechado via Dashboard
17/03/26 11:35:49,17/03/26 16:16:42,VICUSDT,5M,Rápida,LONG,LOSS,-1.0%,0.0501,0.051603*,0.049098,Fechado via Dashboard
17/03/26 16:17:26,17/03/26 17:47:44,0GUSDT,4H,4 velas,SHORT,WIN,+1.0%,0.582,0.5529*,0.6402,Fechado via Dashboard
16/03/26 20:46:27,17/03/26 17:47:48,CFXUSDT,1M,Rápida,LONG,LOSS,-1.0%,0.06663,0.067629*,0.065964,Fechado via Dashboard
